state,x,y
Andhra Pradesh,-69,-182
Arunachal Pradesh,240,109
Assam,194,60
Bihar,66,51
Chhattisgarh,-14,-44
Goa,-165,-165
Gujarat,-212,-9
Haryana,-117,127
Himachal Pradesh,-105,191
Jharkhand,53,1
Karnataka,-132,-181
Kerala,-117,-263
Madhya Pradesh,-83,-6
Maharashtra,-136,-80
Manipur,226,30
Meghalaya,172,47
Mizoram,204,-2
Nagaland,238,58
Odisha,41,-61
Punjab,-141,166
Rajasthan,-171,72
Sikkim,119,91
Tamil Nadu,-83,-258
Telangana,-70,-113
Tripura,179,6
Uttarakhand,-63,150
Uttar Pradesh,-32,79
West Bengal,106,-6
Jammu And Kashmir,-122,253
